year,measure,total,size04,size59,size1019,size2099,size100499,size500
1990,Firms,5073795,3020935,952030,562610,453732,70465,14023
1990,Establishments,6175559,3032253,970580,599529,590496,254747,727954
1990,Employment,93469275,5116914,6251632,7543360,17710042,13544849,43302478
1990,"Annual Payroll ($1,000)",2103971179,116856518,114006469,144450673,352390861,279451864,1096814794
1995,Firms,5369068,3249573,981094,576866,469869,76222,15444
1995,Establishments,6612721,3259795,998264,618268,638616,283993,813785
1995,Employment,100314946,5395432,6440349,7734080,18422228,14660421,47662436
1995,"Annual Payroll ($1,000)",2665921824,141537925,137083047,175388093,437065364,361060815,1413786580
2000,Firms,5652544,3396732,1021210,617087,515977,84385,17153
2000,Establishments,7070048,3406001,1035370,652461,674106,312112,989998
2000,Employment,114064976,5592980,6708674,8285731,20276634,16260025,56940932
2000,"Annual Payroll ($1,000)",3879430052,186175556,174383913,230564411,608446434,527544627,2152315111
2005,Firms,5983546,3677879,1050062,629946,520897,87285,17477
2005,Establishments,7499702,3684047,1062907,662197,679382,331999,1079170
2005,Employment,116317003,5936859,6898483,8453854,20444349,16911040,57672418
2005,"Annual Payroll ($1,000)",4482722481,220009104,206178084,269416918,700453403,616524232,2470140740
2010,Firms,5734538,3575240,968075,617089,475125,81773,17236
2010,Establishments,7396628,3582826,982019,652662,648386,354313,1176422
2010,Employment,111970095,5926452,6358931,8288385,18554372,15868540,56973415
2010,"Annual Payroll ($1,000)",4940983369,226541056,212039611,283246473,719061251,665644629,2834450349
2015,Firms,5900731,3643737,1004555,617390,526106,89479,19464
2015,Establishments,7663938,3649989,1016287,648694,697870,367335,1283763
2015,Employment,124085947,5877075,6614340,8297864,20645466,17503402,65147800
2015,"Annual Payroll ($1,000)",6253488252,263152063,243719141,321846938,876330967,846259493,3702179650
