year,movers,move_rate
1948,28672,20.200001
1949,27603,19.200001
1950,28015,19.1
1951,31464,21.200001
1952,30478,20.299999
1953,31526,20.6
1954,30025,19.299999
1955,32419,20.4
1956,34040,21.1
1957,32723,19.9
1958,34103,20.299999
1959,33640,19.700001
1960,34685,19.9
1961,36533,20.6
1962,35218,19.6
1963,36432,20
1964,37187,20.1
1965,38846,20.700001
1966,37586,19.799999
1967,36523,19
1968,37886,19.5
1969,37332,19
1970,38095,19.1
1971,37705,18.700001
1976,36793,17.700001
1981,38200,17.200001
1982,38127,17
1983,37408,16.6
1984,39379,17.299999
1985,46470,20.200001
1986,43237,18.6
1987,43693,18.6
1988,42174,17.799999
1989,42620,17.799999
1990,43381,17.9
1991,41539,17
1992,42800,17.299999
1993,43099,17
1994,42835,16.700001
1995,42317,16.4
1996,42537,16.299999
1997,43391,16.5
1998,42507,16
1999,42636,15.9
2000,43388,16.1
2001,39885,14.5
2002,41111,14.8
2003,40093,14.2
2004,38995,13.7
2005,39888,13.9
2006,39837,13.7
2007,38681,13.2
2008,35167,11.9
2009,37105,12.5
2010,37540,12.5
2011,35075,11.6
2012,36488,12
2013,35918,11.7
2014,35681,11.5
2015,36324,11.6
2016,35138,11.2
2017,34903,11
