year,sherman1,sherman2,clayton7
1970,232,24,173
1971,391,43,133
1972,285,20,147
1973,307,27,174
1974,202,22,107
1975,274,14,77
1976,263,15,84
1977,330,25,110
1978,162,21,96
1979,225,20,152
1980,219,65,59
1981,162,8,68
1982,139,12,85
1983,136,10,79
1984,135,5,105
1985,130,5,107
1986,169,12,120
1987,125,4,132
1988,115,3,88
1989,93,7,108
1990,71,4,93
1991,77,5,92
1992,84,3,84
1993,110,7,102
1994,136,22,102
1995,98,16,134
1996,128,19,284
1997,95,15,338
1998,109,11,285
1999,73,6,288
2000,73,4,177
2001,67,3,147
2002,75,8,101
2003,112,4,93
2004,61,4,92
2005,100,3,108
2006,87,3,96
2007,69,1,101
2008,66,0,84
2009,70,4,68
2010,46,2,64
2011,47,2,90
2012,31,2,74
2013,25,2,65
2014,31,0,80
2015,39,3,67
2016,42,1,65
